File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\UserRequests.js,82,79,42,4,3,3,0,3,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\LayoutsFolder\Layout.js,98,95,43,3,3,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\LayoutsFolder\Layout2.js,77,75,41,8,2,1,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\LayoutsFolder\Layout3.js,110,109,83,10,1,2,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\LayoutsFolder\OverviewLayout.js,85,82,50,12,3,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\AttendencePage.js,146,146,79,9,0,2,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventAttendees.js,126,123,52,5,3,2,0,3,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventDetailView2.js,184,183,96,10,1,5,0,8,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventListView.js,107,91,46,5,5,3,11,18,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventPayments.js,77,75,31,3,2,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventRegistrations.js,108,106,42,4,2,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\UpdateEvent.js,202,201,96,7,1,4,0,4,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\Profile\Profile.js,57,56,25,2,1,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\elements\carousel.js,49,47,18,3,2,2,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\routes\routes.js,66,64,62,0,1,0,1,4,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\routes\routes2.js,20,19,17,0,1,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\routes\routes3.js,20,19,17,0,1,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\routes\routes4.js,22,21,19,0,1,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\store\utility.js,6,6,2,1,0,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\store\actions\actionTypes.js,4,4,0,0,0,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\store\actions\auth.js,111,102,64,11,9,2,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\store\reducers\auth.js,52,48,19,10,4,0,0,0,0,0
